epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1438.57,0.79487,0.52142,0.8813,0.84573,0.85413,0.92805,0.74006,0.74934,0.60081,0.89687,0.00122038,0.00122038,0.00122038
65,1462.42,0.78474,0.52479,0.87602,0.90651,0.80026,0.92469,0.74383,0.75704,0.58493,0.91428,0.001208,0.001208,0.001208
66,1486.01,0.81054,0.52757,0.88212,0.80707,0.87524,0.91999,0.73547,0.732,0.61315,0.89601,0.00119562,0.00119562,0.00119562
67,1509.27,0.79266,0.52346,0.8729,0.86628,0.85797,0.92763,0.73628,0.74752,0.58885,0.90059,0.00118325,0.00118325,0.00118325
68,1532.78,0.7777,0.52478,0.8808,0.85359,0.85049,0.92902,0.72707,0.76982,0.5771,0.91895,0.00117088,0.00117088,0.00117088
69,1556.03,0.78061,0.51837,0.87421,0.84452,0.80038,0.91917,0.72051,0.77337,0.62329,0.91016,0.0011585,0.0011585,0.0011585
70,1579.97,0.77476,0.51905,0.86996,0.87537,0.82236,0.92447,0.72993,0.76697,0.59706,0.9136,0.00114613,0.00114613,0.00114613
71,1602.11,0.7955,0.52915,0.87589,0.85087,0.85988,0.92982,0.72435,0.81062,0.59192,0.93267,0.00113375,0.00113375,0.00113375
72,1621.81,0.78938,0.52888,0.86967,0.89281,0.84734,0.92782,0.73679,0.74323,0.5782,0.89172,0.00112137,0.00112137,0.00112137
73,1641.97,0.77064,0.50664,0.87356,0.87504,0.8119,0.91631,0.72274,0.78569,0.63774,0.90595,0.001109,0.001109,0.001109
74,1664.17,0.76633,0.51064,0.86955,0.88887,0.83493,0.92754,0.73587,0.74938,0.59736,0.89003,0.00109662,0.00109662,0.00109662
75,1687.52,0.75895,0.5053,0.86797,0.83187,0.85468,0.90885,0.72691,0.77246,0.6328,0.91376,0.00108425,0.00108425,0.00108425
76,1711.19,0.78169,0.51934,0.87422,0.85585,0.87748,0.9246,0.75228,0.70867,0.58814,0.8924,0.00107187,0.00107187,0.00107187
77,1734.5,0.77339,0.51633,0.8739,0.923,0.82829,0.93255,0.7523,0.72214,0.54536,0.89746,0.0010595,0.0010595,0.0010595
78,1757.74,0.77829,0.51305,0.87424,0.79932,0.8792,0.90548,0.71747,0.74809,0.63657,0.89128,0.00104713,0.00104713,0.00104713
79,1780.75,0.7758,0.50885,0.86672,0.89972,0.82662,0.9282,0.74897,0.72045,0.57853,0.89417,0.00103475,0.00103475,0.00103475
80,1804.05,0.75271,0.49338,0.86781,0.85136,0.90146,0.93638,0.74894,0.70423,0.55782,0.89877,0.00102238,0.00102238,0.00102238
81,1827.38,0.73355,0.48497,0.8568,0.85662,0.87716,0.92272,0.7477,0.72148,0.55515,0.91033,0.00101,0.00101,0.00101
82,1850.82,0.75406,0.49528,0.86084,0.89733,0.82534,0.93986,0.76163,0.7106,0.55214,0.88429,0.000997625,0.000997625,0.000997625
83,1874.2,0.73922,0.4838,0.86131,0.89737,0.83685,0.93211,0.75009,0.7224,0.58748,0.8872,0.00098525,0.00098525,0.00098525
84,1897.67,0.74295,0.48377,0.85743,0.88499,0.8566,0.93835,0.76916,0.68292,0.54021,0.89053,0.000972875,0.000972875,0.000972875
85,1920.99,0.71561,0.4656,0.85196,0.87073,0.85326,0.92977,0.75861,0.6963,0.55008,0.89551,0.0009605,0.0009605,0.0009605
86,1944.11,0.73537,0.4707,0.85709,0.91743,0.83168,0.94141,0.7708,0.66932,0.52843,0.88756,0.000948125,0.000948125,0.000948125
87,1967.22,0.74012,0.47346,0.85801,0.9028,0.85221,0.9352,0.7644,0.70436,0.51928,0.90993,0.00093575,0.00093575,0.00093575
88,1990.89,0.70755,0.46973,0.85504,0.88584,0.82534,0.92341,0.74284,0.76078,0.56902,0.91478,0.000923375,0.000923375,0.000923375
89,2014.65,0.70605,0.45684,0.85417,0.86315,0.85605,0.91113,0.74932,0.68864,0.56082,0.8829,0.000911,0.000911,0.000911
90,2038.54,0.70769,0.45669,0.85702,0.91011,0.81624,0.92239,0.75224,0.70713,0.55454,0.89798,0.000898625,0.000898625,0.000898625
91,2062.1,0.71862,0.47833,0.85668,0.91706,0.84895,0.94326,0.76413,0.68522,0.55064,0.88875,0.00088625,0.00088625,0.00088625
92,2086.07,0.70838,0.458,0.84869,0.89279,0.82726,0.92739,0.75375,0.72119,0.54919,0.90299,0.000873875,0.000873875,0.000873875
93,2109.2,0.70734,0.45888,0.85276,0.89206,0.82917,0.93322,0.75095,0.72848,0.57272,0.89537,0.0008615,0.0008615,0.0008615
94,2133.27,0.70423,0.45833,0.85158,0.85225,0.84261,0.90684,0.74092,0.70773,0.594,0.8863,0.000849125,0.000849125,0.000849125
95,2157.34,0.70606,0.46122,0.85602,0.81229,0.87908,0.8981,0.71224,0.77186,0.61094,0.93591,0.00083675,0.00083675,0.00083675
96,2181.34,0.70059,0.44737,0.85988,0.87539,0.83601,0.93477,0.76188,0.69144,0.55096,0.90093,0.000824375,0.000824375,0.000824375
97,2205.79,0.7085,0.46387,0.85141,0.86099,0.89165,0.9348,0.76538,0.68062,0.55555,0.89156,0.000812,0.000812,0.000812
98,2230.12,0.70533,0.45308,0.85658,0.85487,0.89315,0.92599,0.73504,0.74472,0.57682,0.90373,0.000799625,0.000799625,0.000799625
99,2253.96,0.69509,0.45109,0.8542,0.88022,0.85797,0.94271,0.7804,0.66572,0.51927,0.88119,0.00078725,0.00078725,0.00078725
100,2277.83,0.68998,0.4389,0.84903,0.87821,0.88581,0.94298,0.76737,0.68707,0.52245,0.89044,0.000774875,0.000774875,0.000774875
101,2301.72,0.68832,0.44957,0.8494,0.88649,0.86948,0.93692,0.77047,0.67187,0.52768,0.87856,0.0007625,0.0007625,0.0007625
102,2325.48,0.70648,0.46332,0.85618,0.86285,0.89356,0.9379,0.76641,0.68799,0.5578,0.88241,0.000750125,0.000750125,0.000750125
103,2349.53,0.68924,0.4464,0.84851,0.86813,0.83393,0.91833,0.75122,0.67293,0.56814,0.88164,0.00073775,0.00073775,0.00073775
